Posição no depósito;Corr.pos.dep.;Col.posição depósito;Nível pos.dep.;Subdiv.pos.dep.;Tipo de depósito;Área armazmto.;Tp.posição depósito
002-025-010-001;002;025;010;001;0010;GERL;P080
002-025-020-001;002;025;020;001;0010;GERL;P160
002-025-030-001;002;025;030;001;0010;GERL;P160
002-025-040-001;002;025;040;001;0010;GERL;P200
002-025-050-001;002;025;050;001;0010;GERL;P200
002-025-060-001;002;025;060;001;0010;GERL;P200
002-026-010-001;002;026;010;001;0010;GERL;P160
002-026-020-001;002;026;020;001;0010;GERL;P160
002-026-030-001;002;026;030;001;0010;GERL;P160
002-026-040-001;002;026;040;001;0010;GERL;P160
002-026-050-001;002;026;050;001;0010;GERL;P160
002-026-060-001;002;026;060;001;0010;GERL;P200
002-027-010-001;002;027;010;001;0010;GERL;P080
002-027-020-001;002;027;020;001;0010;GERL;P160
002-027-030-001;002;027;030;001;0010;GERL;P160
002-027-040-001;002;027;040;001;0010;GERL;P200
002-027-050-001;002;027;050;001;0010;GERL;P160
002-027-060-001;002;027;060;001;0010;GERL;P200
002-028-010-001;002;028;010;001;0010;GERL;P160
002-028-020-001;002;028;020;001;0010;GERL;P160
002-028-030-001;002;028;030;001;0010;GERL;P160
002-028-040-001;002;028;040;001;0010;GERL;P160
002-028-050-001;002;028;050;001;0010;GERL;P160
002-028-060-001;002;028;060;001;0010;GERL;P200
002-029-010-001;002;029;010;001;0010;GERL;P080
002-029-020-001;002;029;020;001;0010;GERL;P160
002-029-030-001;002;029;030;001;0010;GERL;P160
002-029-040-001;002;029;040;001;0010;GERL;P160
002-029-050-001;002;029;050;001;0010;GERL;P160
002-029-060-001;002;029;060;001;0010;GERL;P200
002-030-010-001;002;030;010;001;0010;GERL;P160
002-030-020-001;002;030;020;001;0010;GERL;P160
002-030-030-001;002;030;030;001;0010;GERL;P160
002-030-040-001;002;030;040;001;0010;GERL;P160
002-030-050-001;002;030;050;001;0010;GERL;P160
002-030-060-001;002;030;060;001;0010;GERL;P200
002-031-010-001;002;031;010;001;0010;GERL;P080
002-031-020-001;002;031;020;001;0010;GERL;P160
002-031-030-001;002;031;030;001;0010;GERL;P160
002-031-040-001;002;031;040;001;0010;GERL;P160
